Symbol,ATR,Price,atr_inv,atr_pct,equal_dollar,equal_volatility,dollars,shares_exact,shares
QQQ,4.267761111111108,360,0.23431489578845027,0.023402139996059685,250.0,0.038665065690260236,193.32532845130117,0.5370148012536143,1.0
AAPL,2.657497777777778,140.91,0.3762938235968003,0.01457230932463829,250.0,0.06209347194616827,310.46735973084134,2.2033025316218957,2.0
TSLA,21.21208333333333,811.08,0.047142941326680954,0.1163158224771188,250.0,0.007779210609272971,38.896053046364855,0.04795587740588456,0.0
NFLX,12.682201111111112,629.76,0.07885066568798388,0.06954246925576786,250.0,0.013011405690994586,65.05702845497294,0.10330447861879595,0.0
AMZN,63.85146666666663,3284.28,0.01566134737703755,0.35012760156531847,250.0,0.002584330044803707,12.921650224018535,0.0039343936034742875,0.0
MSFT,4.366607777777778,296.31,0.22901072202754894,0.02394416272677317,250.0,0.037789806666681275,188.94903333340636,0.637673495101098,1.0
NVDA,6.162308888888886,209.39,0.16227683779420346,0.03379083588846787,250.0,0.026777830629194928,133.88915314597463,0.6394247726537783,1.0
ADBE,11.475471111111114,591.12,0.087142391830149,0.0629254015094214,250.0,0.014379650483514795,71.89825241757397,0.1216305528785593,0.0
PYPL,6.381923333333335,256.36,0.15669257491341426,0.034995085104916585,250.0,0.025856353185813204,129.281765929066,0.5042977294783352,1.0
INTC,1.0205488888888885,52.26,0.9798648657476263,0.0055961492100439995,250.0,0.16169069949319662,808.4534974659831,15.469833476195621,15.0
CSCO,0.8362188888888888,54.62,1.1958591384233528,0.004585381185975614,250.0,0.1973326193703989,986.6630968519945,18.06413579004018,18.0
AVGO,9.086976666666668,485.01,0.11004760292477181,0.04982816389151095,250.0,0.018159314122238195,90.79657061119097,0.1872055640320632,0.0
QCOM,2.8401577777777787,125.04,0.3520931153277086,0.015573919953816028,250.0,0.0581000340905568,290.500170452784,2.323257921087524,2.0
TXN,3.350252222222222,187.1,0.2984849896873436,0.01837100753423903,250.0,0.049253982317186765,246.2699115859338,1.316247523174419,1.0
AMD,3.3856200000000003,109.16,0.29536687519568056,0.018564945682452205,250.0,0.04873945206829148,243.6972603414574,2.232477650617968,2.0
ZM,12.054445555555558,266.24,0.08295694691151746,0.06610019050305892,250.0,0.013688996557406906,68.44498278703453,0.2570800134729362,0.0
INTU,9.4247188888889,534.94,0.10610396042463735,0.0516801632329097,250.0,0.01750856080237983,87.54280401189914,0.16364976261244088,0.0
FISV,2.203697777777779,104.34,0.45378273286113013,0.012083910641178012,250.0,0.07488016976531568,374.4008488265784,3.5882772553821964,4.0
ADP,2.901165555555554,205.19,0.34468905026294044,0.015908454272685692,250.0,0.05687826514948749,284.39132574743746,1.3859901834759856,1.0
MU,2.205152222222223,66.38,0.4534834329905165,0.012091886043647646,250.0,0.0748307813168373,374.15390658418653,5.636545745468312,6.0
